Label,RID,SITE,AGE,PTEDUCAT,APOE4,FDG,PIB,AV45,CDRSB,ADAS11,ADAS13,MMSE,RAVLT_immediate,RAVLT_learning,RAVLT_forgetting,RAVLT_perc_forgetting,FAQ,MOCA,EcogPtMem,EcogPtLang,EcogPtVisspat,EcogPtPlan,EcogPtOrgan,EcogPtDivatt,EcogPtTotal,EcogSPMem,EcogSPLang,EcogSPVisspat,EcogSPPlan,EcogSPOrgan,EcogSPDivatt,EcogSPTotal,Ventricles,Hippocampus,WholeBrain,Entorhinal,Fusiform,MidTemp,ICV,CDRSB_bl,ADAS11_bl,ADAS13_bl,MMSE_bl,RAVLT_immediate_bl,RAVLT_learning_bl,RAVLT_forgetting_bl,RAVLT_perc_forgetting_bl,FAQ_bl,Ventricles_bl,Hippocampus_bl,WholeBrain_bl,Entorhinal_bl,Fusiform_bl,MidTemp_bl,ICV_bl,MOCA_bl,EcogPtMem_bl,EcogPtLang_bl,EcogPtVisspat_bl,EcogPtPlan_bl,EcogPtOrgan_bl,EcogPtDivatt_bl,EcogPtTotal_bl,EcogSPMem_bl,EcogSPLang_bl,EcogSPVisspat_bl,EcogSPPlan_bl,EcogSPOrgan_bl,EcogSPDivatt_bl,EcogSPTotal_bl,FDG_bl,PIB_bl,AV45_bl,Years_bl,Month_bl,Month,M
RID,1,0.042786629,-0.171085409,0.077419777,0.02477963,0.156433673,0.106286202,0.060912613,-0.099369791,-0.099215925,-0.114391252,0.106012349,0.148217259,0.118901649,0.023673838,-0.055241393,-0.112532941,0.067841592,0.041541545,0.015375914,0.010538183,-0.028623392,-0.017782769,0.021455256,0.015053862,-0.050494267,-0.070609201,-0.079085051,-0.080290012,-0.071279535,-0.062539088,-0.073497374,-0.135880823,0.186203422,0.225048927,0.146263437,0.295550665,0.214182664,-0.162900746,0.062622796,0.012842427,-0.001037086,0.012506755,0.069564791,0.056558188,0.027239005,-0.003014814,0.018062327,-0.064518155,0.127644121,0.186333258,0.074058672,0.272228862,0.142143764,-0.161116323,-0.122357785,-0.069344875,-0.057201117,-0.002456296,-0.023733355,-0.029594089,-0.058484875,-0.053519457,0.058059326,0.041076657,0.114606178,0.07325698,0.08655438,0.008448156,0.072630287,0.072050373,0.096890477,0.084105765,-0.330807457,-0.330807446,-0.329556199,-0.329850944
SITE,0.042786629,1,0.029434757,0.001268376,-0.068838389,0.047969144,-0.138099703,-0.047053823,-0.050019052,-0.057148959,-0.065454109,0.054350396,0.062061351,0.051901181,-0.020114067,-0.043377097,-0.042333007,0.05213953,-8.59E-05,-0.004067242,-0.016401912,7.37E-05,-0.000417442,-0.0147448,-0.00529054,-0.032993402,-0.039513341,-0.045839974,-0.028695962,-0.025264613,-0.0278201,-0.037755505,-0.015092455,0.023125735,0.007267002,0.067936428,0.046894911,0.011375623,-0.000539937,-0.051659191,-0.050280311,-0.062231565,0.050576962,0.073476642,0.044070367,-0.045391348,-0.07944703,-0.041101722,-0.014976274,0.012476134,0.001607284,0.052410468,0.024531421,-0.017204054,0.004935546,0.040347257,0.010205856,0.021337606,0.011866377,0.026951552,0.020108112,0.031943895,0.022326355,-0.008263674,-0.038005631,-0.04395451,-0.011930144,-0.026446912,-0.020978441,-0.028438981,0.075666993,-0.050376231,-0.043095981,-0.016985371,-0.016985365,-0.016777337,-0.016185089
AGE,-0.171085409,0.029434757,1,-0.060700423,-0.136518207,-0.114932232,-0.052702249,0.117205257,0.061315026,0.0834186,0.110633432,-0.06469078,-0.178412699,-0.106801225,0.036710319,0.085869333,0.068395836,-0.170387525,-0.074759458,-0.004341531,-0.020593986,0.001219557,-0.009612884,-0.089624715,-0.041014209,0.067509572,0.058226017,0.072077341,0.062195178,0.07175525,0.054242713,0.069862116,0.327686538,-0.36248203,-0.299103335,-0.186842812,-0.252639574,-0.215073095,0.023134605,0.019111615,0.094523794,0.116862562,-0.116484452,-0.182715648,-0.093233296,-0.007114072,0.070280902,0.066044653,0.3222851,-0.362789294,-0.311998339,-0.166319646,-0.271338345,-0.227508205,0.012392158,-0.200185423,-0.057686965,0.040518386,0.004685568,0.020589442,0.031525254,-0.082072886,-0.007944486,0.083531386,0.084025251,0.100806146,0.06594299,0.083349301,0.058697721,0.088317996,-0.138961252,0.012900236,0.172667232,0.027648433,0.027648419,0.027597082,0.027302734
PTEDUCAT,0.077419777,0.001268376,-0.060700423,1,-0.06978176,0.079594403,0.022202093,-0.098870012,-0.106412687,-0.13333726,-0.14833005,0.154829521,0.196887857,0.122677885,-0.035886039,-0.102405082,-0.099517063,0.194579034,-0.04876102,-0.085065096,-0.045391141,-0.085625499,-0.026563331,0.007921118,-0.060306998,-0.102399094,-0.092731788,-0.103114699,-0.11243526,-0.083044561,-0.091975405,-0.105111529,0.036512863,0.14062993,0.184302455,0.173224372,0.178804721,0.166816609,0.16419048,-0.129833742,-0.140332872,-0.156406309,0.202173238,0.172459773,0.119497098,-0.034147794,-0.118095398,-0.094089136,0.066925103,0.119415962,0.17764846,0.160405919,0.175626871,0.164932207,0.167409024,0.191717987,-0.032207123,-0.087471707,-0.034891823,-0.080140306,-0.018263393,0.010212769,-0.053098024,-0.107780373,-0.101348224,-0.107567506,-0.120963154,-0.090113912,-0.119519991,-0.118918844,0.07650786,0.277971454,-0.109618968,0.003451134,0.003451133,0.003827134,0.00269498
APOE4,0.02477963,-0.068838389,-0.136518207,-0.06978176,1,-0.259550591,0.491620338,0.436263477,0.280094468,0.288792679,0.308357478,-0.275187379,-0.265414195,-0.237206194,0.093260836,0.188880868,0.271245016,-0.258327364,0.174857882,0.067256769,0.122753318,0.128114527,0.065730238,0.083308513,0.130380563,0.31359558,0.25804194,0.266192754,0.260360939,0.258784291,0.260139485,0.293826924,0.028277868,-0.227799032,-0.030573547,-0.230857412,-0.116865734,-0.124570293,0.012494242,0.268304585,0.279692233,0.303358069,-0.253287377,-0.243176128,-0.244291027,0.119730369,0.269126587,0.208618125,0.009753008,-0.226371326,-0.016902318,-0.226110663,-0.080443801,-0.088137101,0.002744591,-0.200850425,0.215222682,0.075749054,0.11120694,0.127456359,0.061730966,0.108102624,0.143434515,0.269668149,0.238120803,0.236427575,0.197911702,0.219114627,0.235508086,0.267320343,-0.231581259,0.520208861,0.419164334,-0.075449942,-0.075449951,-0.075975375,-0.07436774
FDG,0.156433673,0.047969144,-0.114932232,0.079594403,-0.259550591,1,-0.329416255,-0.36516574,-0.604453245,-0.627295833,-0.644856627,0.597454136,0.515049872,0.394962542,-0.029502902,-0.380063645,-0.592743697,0.579205864,-0.128905865,-0.086358189,-0.180058677,-0.173202268,-0.148382859,-0.062847112,-0.151900477,-0.511889616,-0.493792142,-0.522796544,-0.489013165,-0.506027016,-0.456280857,-0.546543196,-0.407142939,0.465070712,0.259009098,0.384544781,0.402998984,0.456165207,-0.100824653,-0.509879636,-0.540762005,-0.568687172,0.481296706,0.45524506,0.367221281,-0.063123792,-0.360856149,-0.493381247,-0.355781778,0.432603675,0.224814318,0.363138483,0.358973401,0.388652002,-0.091019122,0.538823004,-0.165484927,-0.108088811,-0.168644965,-0.158390752,-0.116966262,-0.084286329,-0.161672944,-0.461991676,-0.444406214,-0.431737611,-0.397002032,-0.392384182,-0.399040552,-0.478247398,0.912109324,-0.461406904,-0.391990323,-0.066083508,-0.066083462,-0.066651365,-0.066769093
PIB,0.106286202,-0.138099703,-0.052702249,0.022202093,0.491620338,-0.329416255,1,,0.264957813,0.32753553,0.356212073,-0.234961769,-0.361338004,-0.227595838,0.226214318,0.393609145,0.268672177,,,,,,,,,,,,,,,,0.172060312,-0.439680522,-0.165060948,-0.353282132,-0.242948397,-0.327254298,-0.057918649,0.167542088,0.289765828,0.3266365,-0.153505609,-0.2245721,-0.225053076,0.150620939,0.313131624,0.148801898,0.168456625,-0.390279074,-0.117164581,-0.332485045,-0.192690872,-0.278227422,-0.041949883,,,,,,,,,,,,,,,,-0.220691948,0.933222411,,0.050836792,0.050836596,0.051119251,0.056593778
AV45,0.060912613,-0.047053823,0.117205257,-0.098870012,0.436263477,-0.36516574,,1,0.368108242,0.383365207,0.408966203,-0.361217926,-0.365513679,-0.276866452,0.12826829,0.33537753,0.356744717,-0.363267356,0.193646501,0.073873046,0.121993276,0.120765273,0.099145597,0.058333637,0.141095055,0.403076626,0.335322497,0.342513171,0.332878656,0.358518856,0.330796215,0.386318191,0.186625439,-0.340664879,-0.134235154,-0.29439248,-0.212293376,-0.247004801,-0.007915505,0.329679377,0.353096498,0.375441891,-0.303628435,-0.31393539,-0.246965844,0.132581607,0.306838046,0.30272312,0.142581116,-0.300938635,-0.113156162,-0.249831368,-0.183362525,-0.204156989,-0.024103802,-0.313058273,0.213703145,0.096503248,0.111535422,0.106239456,0.077556182,0.072764833,0.148662353,0.347874633,0.310674375,0.315679227,0.294177295,0.285755089,0.283486506,0.347749637,-0.301250918,0.818900444,0.967956412,-0.063890367,-0.063890323,-0.064388399,-0.063040542
CDRSB,-0.099369791,-0.050019052,0.061315026,-0.106412687,0.280094468,-0.604453245,0.264957813,0.368108242,1,0.802286959,0.802655999,-0.800302045,-0.618476429,-0.479212957,0.035189214,0.501614361,0.882140653,-0.740324608,0.237364168,0.157870902,0.274839678,0.287979489,0.23419191,0.133957229,0.259031636,0.728671535,0.720828807,0.798271689,0.772776682,0.758051774,0.697088473,0.805559972,0.310368407,-0.503968909,-0.254446561,-0.487053761,-0.39713262,-0.437060236,0.042537405,0.669351144,0.578604409,0.609634902,-0.533463739,-0.489705573,-0.415684753,0.103387189,0.424271139,0.618581596,0.213335699,-0.426369175,-0.185905372,-0.399403293,-0.288790797,-0.324834768,0.042483484,-0.580362907,0.255364867,0.174480491,0.268482199,0.287619562,0.20191535,0.150898303,0.265873653,0.651961143,0.580441994,0.60761941,0.599012154,0.590337949,0.566127777,0.678595948,-0.472510965,0.176401105,0.405591081,0.124957671,0.124957668,0.124611027,0.125787345
ADAS11,-0.099215925,-0.057148959,0.0834186,-0.13333726,0.288792679,-0.627295833,0.32753553,0.383365207,0.802286959,1,0.98128639,-0.844205258,-0.739077161,-0.544034103,0.030413596,0.563066192,0.746646271,-0.817028045,0.219850173,0.16624584,0.253382902,0.247997394,0.185811871,0.099850033,0.233898308,0.637087921,0.622035266,0.665047675,0.631189404,0.626459262,0.574424456,0.682183873,0.31343116,-0.507110689,-0.244450282,-0.495693491,-0.409611617,-0.457260847,0.064890201,0.599268949,0.761472589,0.778034161,-0.595430713,-0.619740177,-0.492512968,0.11977249,0.50145273,0.570116752,0.229799466,-0.454296397,-0.197517328,-0.42579793,-0.317612492,-0.36171599,0.047512494,-0.666402371,0.222199276,0.162450582,0.214808933,0.22305703,0.150679028,0.100379917,0.220203544,0.563566462,0.514880952,0.501710408,0.479608797,0.473605097,0.438989054,0.567873434,-0.527515705,0.217738991,0.452992043,0.017647839,0.01764786,0.017578835,0.018981369
